"","","","","","","ROIs","Response Curves"
"Contribution Group","Type","Adjustment","Adjustment (%)","Colour","Due To (%)","",""
"Climate","Generic","none","","main_green","0","",""
"Competitor","Generic","none","","main_orange","-19.14211","",""
"Covid","Generic","none","","main_orange","0","",""
"Digital","Generic","none","","main_yellow","0","",""
"Display","Generic","none","","main_purple","0","",""
"Distribution","Generic","min","","main_blue","189.89009","",""
"Economic","Generic","none","","dark_green","0","",""
"Feature and Display","Generic","none","","dark_orange","0","",""
"Holiday","Generic","none","","dark_yellow","0","",""
"Holidays","Generic","none","","dark_purple","0","",""
"Inflation","Generic","none","","dark_blue","0","",""
"Inflation Food","Generic","none","","light_green","14.55636","",""
"Launch","Generic","none","","light_orange","0.57549","",""
"Market","Generic","none","","light_green","0","",""
"Media","Generic","none","","light_yellow","20.98903","",""
"OOH","Generic","none","","light_orange","0","",""
"Press","Generic","none","","light_yellow","0","",""
"Price","Generic","max","","light_purple","-282.58441","",""
"Promotion","Generic","none","","light_blue","47.1117","",""
"Radio","Generic","none","","black","0","",""
"Seasonal Index","Generic","none","","off_black","0","",""
"Seasonality","Generic","min","","background_grey","128.60384","",""
"TV","Generic","none","","light_grey","0","",""
"Video","Generic","none","","off_white","0","",""
"Others","Generic","none","","firebrick","0","",""