"#","Variable Name","Coefficient","△ Coeff (%)","Fixed","SE","T-Value","VIF","Random Effect","Contribution Group","Model Transform","Normalised","Source File","Indirect"
"-1","Intercept","1.6211565733","0","false","0.2866148651","5.6562194824","0","false","Worst Case Scenario","NONE","","","false"
"1","KROGER_KPI_COMPETITIVE_PEPSICO_QUAKER_NATURE_VALLEY_GRAIN_TOTAL_DISTRIBUTION_POINT_QTY","-0.0397680178","0","false","0.0434960537","-0.9142902493","25.5361042023","false","Competitor","STA","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"2","KROGER_KPI_GMI_NATURE VALLEY_REGULAR_PRICE_TOTAL_BRAND","-0.1509272605","0","false","0.1677990705","-0.8994523287","18.7931346893","false","Price","STA","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"3","TOTALUS_EXT_HOLIDAY_CHRISTMAS_NAT","-0.1669242084","0","false","0.0391810611","-4.2603292465","2.7332837582","false","Seasonality","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"4","TOTALUS_EXT_HOLIDAY_NEW_YEARS_DAY_NAT","-0.0751772895","0","false","0.0339516923","-2.2142429352","2.0523679256","false","Seasonality","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"5","TOTALUS_EXT_HOLIDAY_THANKSGIVING_DAY_NAT","-0.0445526801","0","false","0.0361964554","-1.2308574915","2.3327300549","false","Seasonality","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"6","TOTALUS_EXT_HOLIDAY_CHRISTMAS_NAT|Lag(-1)","-0.0805104002","0","false","0.0322733931","-2.4946370125","1.8544778824","false","Seasonality","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"7","TOTALUS_EXT_HOLIDAY_EASTER_NAT","-0.0242526643","0","false","0.0275481325","-0.8803741336","1.3511909246","false","Seasonality","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"8","TOTALUS_EXT_HOLIDAY_SUPER_BOWL_NAT","-0.0321363769","0","false","0.0257748943","-1.2468092442","1.1828404665","false","Seasonality","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"9","TOTALUS_EXT_HOLIDAY_INDEPENDENCE_DAY_NAT","-0.0344778486","0","false","0.0279582739","-1.2331894636","1.3917238712","false","Seasonality","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"10","TOTALUS_EXT_HOLIDAY_LABOR_DAY_NAT|Lag(-1)","0.0369795039","0","false","0.0309684556","1.1941022873","1.7075423002","false","Seasonality","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"11","TOTALUS_EXT_BLS_CPI_CHANGE_FOOD_AT_HOME_NAT|EMav(5)","0.1751767695","0","false","0.2138504833","0.8191553354","8.1912631989","false","Inflation Food","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"12","NATURE_VALLEY_GRAIN_TOTAL_DISTRIBUTION_POINT_QTY_BWT_No_Criteria","1.2552255392","0","false","0.1949386299","6.4390802383","22.9283752441","false","Distribution","STA","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"13","AMAZON_MEDIA_Video_IMPRESSIONS_GRP|CoverCurve(1,0.8,0.5)","-0.060862951","0","false","0.0839837044","-0.7246995568","5.529747963","false","Media","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"14","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_LINEAR TV_TV_GRP|AdModel(2+2 65 100 14)","0.0340519771","0","false","0.0638722107","0.5331265926","4.0288105011","false","Media","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"15","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_SOCIAL_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","0.0213068984","0","false","0.0408308469","0.5218333602","7.7201414108","false","Media","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"16","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_PAIDSEARCH_PAID SEARCH_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","0.1992003173","0","false","0.7425219417","0.2682753503","4.6425800323","false","Media","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"17","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_SUM_TOTAL_DIGITAL_CUSTOM PARTNERSHIP_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","0.1448328793","0","false","0.0923661441","1.5680299997","5.2623548508","false","Media","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"18","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_RADIO_RADIO_IMPRESSIONS_GRP|CoverCurve(2,0.95,0.5)","0.1492051929","0","false","0.0596895218","2.4996881485","3.2282209396","false","Media","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"19","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_DIGITAL_PAID DIGITAL AUDIO_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","0.0685753375","0","false","0.1288491935","0.5322139263","7.6134114265","false","Media","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"20","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_PRINT_PRINT_IMPRESSIONS_GRP|CoverCurve(2,0.95,0.5)","0.0147396941","0","false","0.03140359","0.4693633318","4.0021018982","false","Media","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"21","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_DIGITAL_PAID DIGITAL VIDEO_IMPRESSIONS_GRP|CoverCurve(1,0.8,0.5)","-0.0013967491","0","false","0.0989499614","-0.0141157107","17.7204818726","false","Media","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"22","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_DIGITAL_PAID DIGITAL DISPLAY_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","-0.1198801622","0","false","0.1162862629","-1.0309057236","4.4812493324","false","Media","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"23","KROGER_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_SEARCH_SEARCH_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","0.0155413756","0","false","0.0755782649","0.2056328803","10.6051301956","false","Media","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"24","KROGER_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_DIGITAL_ONSITE DISPLAY_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","0.3854243159","0","false","0.3221720159","1.1963307858","3.7617001534","false","Media","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"25","KROGER_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_DIGITAL_EMAIL_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","-0.3362011611","0","false","0.4430014789","-0.7589165568","2.0142617226","false","Media","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"26","KROGER_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_DIGITAL_FACEBOOK/INSTAGRAM_IMPRESSIONS_GRP|CoverCurve(1,0.8,0.5)|Lag(1)","-0.041020669","0","false","0.1013080925","-0.4049100876","4.3443627357","false","Media","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"27","KROGER_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_DIGITAL_COUPON_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","-0.1607911289","0","false","0.347253114","-0.4630372524","1.8650606871","false","Media","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"28","Kroger Launches 2024Q1","1.7771886587","0","false","1.9430149794","0.914655149","28.4381980896","false","Launch","DIVMDV|SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"29","NV TotFood Nature Valley Week Avg Baseline EQUs Category - DepVar Index_vTotCategory","0.5460795164","0","false","0.1131498963","4.8261604309","5.8112072945","false","Seasonality","STA","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"30","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_COUPON_INMAR QUOTIENT_CLIPS|Decay(0.8)","0.063433893","0","false","0.0479647554","1.3225104809","3.7980647087","false","Media","DIVMDV|SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"31","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_COUPON_NETPTUNE_REDEMPTIONS","2.8082597256","0","false","3.8236794472","0.734439075","5.741092205","false","Media","DIVMDV|SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"32","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_COUPON_IBOTTA_REDEMPTIONS","0.0677727908","0","false","0.2293738276","0.2954687178","1.7040500641","false","Media","DIVMDV|SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"33","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_COUPON_FETCH TOTAL_SALE VALUE","0.2047011256","0","false","0.0685637295","2.9855599403","6.3833937645","false","Media","DIVMDV|SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"34","US CPI Food SA 1984=100|CMav(5)","-2.2317659855","0","false","0.4494387209","-4.9656734467","59.4592514038","false","Inflation Food","STA","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"35","AUG MONTH DUMMY","0.0811721161","0","false","0.0202491581","4.0086660385","2.7483837605","false","Seasonality","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"36","Dummy_Aug22","0.0492804833","0","false","0.0435142927","1.1325125694","4.465675354","false","Promotion","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"37","NATURE_VALLEY_GRAIN_Depth of Discount x support Any Store_BWT","1.5766358376","0","false","0.1962888539","8.0322237015","4.0217943192","false","Promotion","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"38","Dummy_Jun","-0.0426585376","0","false","0.0159600358","-2.6728348732","1.7073838711","false","Seasonality","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"39","NATURE_VALLEY_GRAIN_DEPTH_OF_DISCOUNT_X_SUPPORT_FEATURE_AND_DISPLAY_BWT","6.4212164879","0","false","1.1091365814","5.7893829346","4.3729491234","false","Promotion","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"40","NATURE_VALLEY_GRAIN_DEPTH_OF_DISCOUNT_X_SUPPORT_FEATURE_BWT","1.3873102665","0","false","0.2425206304","5.7203807831","4.011077404","false","Promotion","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"41","NATURE_VALLEY_GRAIN_DEPTH_OF_DISCOUNT_X_SUPPORT_DISPLAY_BWT","2.9486987591","0","false","0.9888597131","2.9819180965","4.1103835106","false","Promotion","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"42","KROGER_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_DIGITAL_DIGITAL DISPLAY_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","-0.1110746935","0","false","0.1728043705","-0.6427770853","2.7614283562","false","Media","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"43","KROGER_MEDIA_GMI_MULTIBRAND NATURE VALLEY GRAIN_MULTIBRAND NATURE VALLEY GRAIN_TOTAL_DIGITAL_ONSITE DISPLAY_TOTAL IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","-0.5801327825","0","false","0.2973139584","-1.9512463808","3.3362958431","false","Media","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"
"44","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_DIGITAL_PAID NATIVE AD_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","-1.6109787226","0","false","0.98588866","-1.6340372562","4.5201072693","false","Media","SUB","","GMI_NATURE VALLEY_Models_Kroger_v15_FINAL_MODEL_VIN_ONLY","false"